Area,DistanceToCity,Cost,Ecology,Purity,Utilities,Neighbors,Children,SportsAndRecreation,Shops,Transport,Safety,City
14.0,20.0,3050000.0,3.2,2.8,2.4,3.6,3.6,3.1,4.6,3.0,3.3,Московская область
9.0,28.0,2100000.0,3.5,3.0,2.5,3.6,3.6,3.4,4.4,3.1,3.1,Московская область
10.0,16.0,3500000.0,2.5,3.0,2.8,3.5,3.6,3.2,4.2,2.8,3.2,Московская область
23.0,24.0,4000000.0,3.2,2.8,2.4,3.6,3.6,3.1,4.6,3.0,3.3,Московская область
6.0,15.0,430000.0,3.4,2.9,2.6,3.7,3.9,3.6,4.4,2.8,3.3,Московская область
10.0,51.0,990000.0,3.1,2.3,2.0,3.7,3.1,2.5,3.9,2.5,2.8,Московская область
14.0,24.0,2000000.0,3.2,2.8,2.4,3.6,3.6,3.1,4.6,3.0,3.3,Московская область
10.0,56.0,2300000.0,3.2,2.4,2.3,3.6,3.1,2.4,4.2,2.8,3.1,Московская область
6.0,77.0,970000.0,3.9,3.4,3.0,3.9,3.6,3.5,4.3,3.0,3.7,Московская область
25.0,77.0,2000000.0,3.0,2.8,2.4,3.7,3.3,2.9,4.3,3.1,3.2,Московская область
25.0,47.0,9500000.0,3.1,2.3,2.0,3.7,3.1,2.5,3.9,2.5,2.8,Московская область
10.0,36.0,1600000.0,3.2,2.5,2.2,3.5,3.2,2.5,4.1,2.9,2.9,Московская область
3.0,56.0,1150000.0,3.2,2.4,2.3,3.6,3.1,2.4,4.2,2.8,3.1,Московская область
8.0,51.0,3744000.0,3.4,2.9,2.6,3.7,3.9,3.6,4.4,2.8,3.3,Московская область
19.0,54.0,870000.0,3.7,3.5,3.1,3.9,3.5,3.2,4.1,2.9,3.4,Московская область
299.0,85.0,500000.0,2.9,3.2,2.8,3.8,3.5,3.1,4.2,3.0,3.4,Московская область
8.0,30.0,4350000.0,3.5,3.0,2.5,3.6,3.6,3.4,4.4,3.1,3.1,Московская область
10.0,70.0,600000.0,3.5,3.6,3.1,3.7,4.0,3.5,4.2,3.3,3.5,Московская область
10.0,53.0,248230.0,2.4,2.5,2.2,3.4,3.2,2.6,4.2,2.5,2.8,Московская область
11.0,61.0,105390.0,2.4,2.5,2.2,3.4,3.2,2.6,4.2,2.5,2.8,Московская область
6.0,97.0,430000.0,3.9,3.7,3.5,4.2,4.0,3.5,4.5,3.2,4.2,Московская область
15.0,17.0,20000000.0,3.5,3.3,2.8,3.6,3.4,3.4,4.2,2.6,3.4,Московская область
20.0,59.0,800000.0,1.8,2.4,2.3,3.6,3.1,2.6,4.2,2.7,3.0,Московская область
5.0,3.0,2800000.0,3.3,3.3,2.8,3.7,3.7,3.5,4.3,2.9,3.6,Московская область
6.0,30.0,509000.0,2.2,2.7,2.2,3.6,3.1,2.8,4.3,2.8,3.0,Московская область
15.0,69.0,750000.0,2.4,2.5,2.2,3.4,3.2,2.6,4.2,2.5,2.8,Московская область
8.0,36.0,2100000.0,3.7,3.5,3.2,3.9,3.8,3.6,4.3,3.0,3.5,Московская область
10.0,49.0,230000.0,3.4,2.9,2.4,3.6,3.6,2.6,4.4,2.9,3.2,Московская область
5.0,35.0,400000.0,3.7,3.5,3.2,3.9,3.8,3.6,4.3,3.0,3.5,Московская область
6.0,0.0,1800000.0,3.2,2.9,2.5,3.5,3.3,2.8,4.2,2.8,3.1,Московская область
25.0,10.0,1900000.0,3.7,3.5,3.1,3.9,3.5,3.2,4.1,2.9,3.4,Московская область
1180.0,0.0,4350000.0,3.9,3.6,3.0,3.6,4.0,3.2,4.4,3.3,3.5,Московская область
6.0,31.0,1199000.0,3.7,3.5,3.2,3.9,3.8,3.6,4.3,3.0,3.5,Московская область
10.0,73.0,1350000.0,2.6,2.8,2.6,3.7,3.6,3.1,4.2,3.2,3.2,Московская область
10.0,74.0,600000.0,2.6,2.8,2.6,3.7,3.6,3.1,4.2,3.2,3.2,Московская область
8.0,120.0,300000.0,3.5,3.6,3.1,3.7,4.0,3.5,4.2,3.3,3.5,Московская область
8.0,33.0,549000.0,3.7,3.5,3.2,3.9,3.8,3.6,4.3,3.0,3.5,Московская область
15.0,54.0,2500000.0,3.4,2.9,2.6,3.7,3.9,3.6,4.4,2.8,3.3,Московская область
28.0,14.0,16500000.0,3.5,3.3,2.8,3.6,3.4,3.4,4.2,2.6,3.4,Московская область
4.0,45.0,1000000.0,3.1,2.3,2.0,3.7,3.1,2.5,3.9,2.5,2.8,Московская область
6.0,54.0,1800000.0,3.7,3.5,3.1,3.9,3.5,3.2,4.1,2.9,3.4,Московская область
9.0,7.0,900000.0,3.1,2.9,2.7,3.6,3.3,3.0,4.2,2.4,3.1,Московская область
13.0,33.0,730000.0,2.2,2.7,2.2,3.6,3.1,2.8,4.3,2.8,3.0,Московская область
11.0,28.0,2800000.0,3.7,3.5,3.2,3.9,3.8,3.6,4.3,3.0,3.5,Московская область
13.0,15.0,1300000.0,3.1,2.9,2.7,3.6,3.3,3.0,4.2,2.4,3.1,Московская область
12.0,100.0,200000.0,3.0,2.8,2.4,3.7,3.3,2.9,4.3,3.1,3.2,Московская область
12.0,0.0,850000.0,3.8,3.4,3.1,3.8,4.1,3.6,3.9,3.2,3.9,Московская область
5.0,12.0,900000.0,3.5,3.3,2.8,3.6,3.4,3.4,4.2,2.6,3.4,Московская область
23.0,12.0,4600000.0,3.7,3.5,3.2,3.9,3.8,3.6,4.3,3.0,3.5,Московская область
15.0,43.0,1236000.0,3.7,3.5,3.1,3.9,3.5,3.2,4.1,2.9,3.4,Московская область
18.0,100.0,440000.0,1.4,1.6,1.9,3.5,2.8,2.4,3.9,2.4,2.7,Московская область
3.0,2.0,29568499.0,3.3,3.3,2.8,3.7,3.7,3.5,4.3,2.9,3.6,Московская область
239.0,5.0,419907218.0,3.3,3.3,2.8,3.7,3.7,3.5,4.3,2.9,3.6,Московская область
8.0,43.0,598000.0,3.7,3.5,3.1,3.9,3.5,3.2,4.1,2.9,3.4,Московская область
16.0,87.0,1500000.0,3.5,3.6,3.1,3.7,4.0,3.5,4.2,3.3,3.5,Московская область
6.0,43.0,460000.0,3.7,3.5,3.1,3.9,3.5,3.2,4.1,2.9,3.4,Московская область
8.0,33.0,730000.0,3.5,3.0,2.5,3.6,3.6,3.4,4.4,3.1,3.1,Московская область
20.0,11.0,700000.0,3.9,3.7,3.5,4.2,4.0,3.5,4.5,3.2,4.2,Московская область
21.0,62.0,1240000.0,3.5,2.7,2.7,4.0,3.6,3.1,4.2,3.1,2.9,Московская область
14.0,16.0,570000.0,2.4,2.5,2.2,3.4,3.2,2.6,4.2,2.5,2.8,Московская область
15.0,62.0,875000.0,3.5,2.7,2.7,4.0,3.6,3.1,4.2,3.1,2.9,Московская область
10.0,26.0,650000.0,3.2,2.8,2.4,3.6,3.6,3.1,4.6,3.0,3.3,Московская область
58.0,12.0,5889000.0,3.5,3.3,2.8,3.6,3.4,3.4,4.2,2.6,3.4,Московская область
1000.0,84.0,3000000.0,1.4,1.6,1.9,3.5,2.8,2.4,3.9,2.4,2.7,Московская область
1680.0,84.0,25200000.0,1.4,1.6,1.9,3.5,2.8,2.4,3.9,2.4,2.7,Московская область
